committee,group,education,employment,commerce,recreation,healthcare,habitation,AI
金安居委会,child,30,55,124,24,11,16,137.83333333333334
金安居委会,adult,103,173,454,72,37,75,488.83333333333337
金安居委会,elderly,30,55,124,24,11,16,137.83333333333334
同济新村居委会,child,30,55,124,24,11,16,137.83333333333334
同济新村居委会,adult,103,173,454,72,37,75,488.83333333333337
同济新村居委会,elderly,30,55,124,24,11,16,137.83333333333334
鞍山四村第三居委会,child,30,55,124,24,11,16,137.83333333333334
鞍山四村第三居委会,adult,103,173,454,72,37,75,488.83333333333337
鞍山四村第三居委会,elderly,30,55,124,24,11,16,137.83333333333334
密云路居委会,child,30,55,124,24,11,16,137.83333333333334
密云路居委会,adult,103,173,454,72,37,75,488.83333333333337
密云路居委会,elderly,30,55,124,24,11,16,137.83333333333334
铁岭路九十弄居委会,child,30,55,124,24,11,16,137.83333333333334
铁岭路九十弄居委会,adult,103,173,454,72,37,75,488.83333333333337
铁岭路九十弄居委会,elderly,30,55,124,24,11,16,137.83333333333334
