committee,group,4,5,6,8,10,15
同济新村居委会,adult,290.0,295.0,310.0,398.0,476.0,1300.0
同济新村居委会,child,126.0,290.0,290.0,302.0,374.0,636.0
同济新村居委会,elderly,10.0,126.0,290.0,294.0,310.0,434.0
密云路居委会,adult,26.0,30.0,43.0,99.0,144.0,567.0
密云路居委会,child,24.0,26.0,28.0,36.0,79.0,164.0
密云路居委会,elderly,23.0,24.0,26.0,30.0,43.0,127.0
金安居委会,adult,0.0,0.0,0.0,13.0,28.0,158.0
金安居委会,child,0.0,0.0,0.0,0.0,5.0,35.0
金安居委会,elderly,0.0,0.0,0.0,0.0,0.0,13.0
铁岭路九十弄居委会,adult,196.0,223.0,286.0,421.0,1000.0,2327.0
铁岭路九十弄居委会,child,161.0,186.0,211.0,281.0,310.0,1030.0
铁岭路九十弄居委会,elderly,150.0,177.0,186.0,223.0,286.0,499.0
鞍山四村第三居委会,adult,391.0,437.0,467.0,1224.0,1557.0,1758.0
鞍山四村第三居委会,child,197.0,372.0,400.0,462.0,576.0,1630.0
鞍山四村第三居委会,elderly,197.0,198.0,372.0,434.0,467.0,1389.0
