id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry,function_type
B00155QT5W,同济大学出版社,四平路1239号同济大学四平路校区,科教文化服务;传媒机构;出版社,141105,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504279,31.279172",021-65981474,科教文化服务,传媒机构,出版社,121.504279,31.279172,"121.499859,31.281182",121.499859,31.281182,POINT (121.499859 31.281182),教育
B00156EIOO,上海开放大学国际会议中心,政法路195号,科教文化服务;会展中心;会展中心,140300,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.513691,31.293023",[],科教文化服务,会展中心,会展中心,121.513691,31.293023,"121.509304,31.295056",121.509304,31.295056,POINT (121.509304 31.295056),教育
B0IGC5D3PP,上海国际设计创新学院,四平路与赤峰路交叉口东北200米,科教文化服务;学校;高等院校,141201,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.505641,31.280329",[],科教文化服务,学校,高等院校,121.505641,31.280329,"121.501226,31.282343",121.501226,31.282343,POINT (121.501226 31.282343),教育
B0H27L1ISP,涛创体育篮球乒乓球培训,大连路与阜新路交叉口东南约80米,科教文化服务;培训机构;培训机构,141400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504509,31.272522",[],科教文化服务,培训机构,培训机构,121.504509,31.272522,"121.50009,31.274536",121.50009,31.274536,POINT (121.50009 31.274536),教育
B00154TJS6,中国教育工会复旦大学委员会,国年路275弄7号,科教文化服务;科教文化场所;科教文化场所,140000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.505307,31.294633",[],科教文化服务,科教文化场所,科教文化场所,121.505307,31.294633,"121.500889,31.29664",121.500889,31.29664,POINT (121.500889 31.29664),教育
B0FFH2ITTZ,上海复新进修学院,国定路335号12层,科教文化服务;学校;成人教育,141205,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508596,31.297004",18621650502,科教文化服务,学校,成人教育,121.508596,31.297004,"121.50419,31.29902",121.50419,31.29902,POINT (121.50419 31.29902),教育
B0FFGODR9S,上海纽尔玛营养健康管理进修学院,国权路98号国阳大厦9层,科教文化服务;学校;成人教育,141205,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515722,31.288168",18001718326,科教文化服务,学校,成人教育,121.515722,31.288168,"121.511342,31.290208",121.511342,31.290208,POINT (121.511342 31.290208),教育
B0FFF05FGI,上海杨浦区万学进修学校,国定路335号1号楼5003室,科教文化服务;学校;成人教育,141205,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508747,31.297147",021-55666892,科教文化服务,学校,成人教育,121.508747,31.297147,"121.504342,31.299163",121.504342,31.299163,POINT (121.504342 31.299163),教育
B00156O92N,上海市复旦求是进修学院,国达路58号(杨浦区复旦科技创业园区3号湾广场),科教文化服务;学校;成人教育,141205,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508911,31.296031",021-55666303,科教文化服务,学校,成人教育,121.508911,31.296031,"121.504506,31.298048",121.504506,31.298048,POINT (121.504506 31.298048),教育
B00155QUT9,上海杨浦区复旦附中进修学校,政熙路2号复旦大学,科教文化服务;学校;成人教育,141205,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.506819,31.289301",021-65647956;4008205158,科教文化服务,学校,成人教育,121.506819,31.289301,"121.502407,31.291315",121.502407,31.291315,POINT (121.502407 31.291315),教育
