id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry,function_type
B0FFFOGAVF,上海德国中心,四平路1239号同济大学四平路校区科学苑,商务住宅;商务住宅相关;商务住宅相关,120000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.50551,31.282219",[],商务住宅,商务住宅相关,商务住宅相关,121.50551,31.282219,"121.501094,31.284232",121.501094,31.284232,POINT (121.501094 31.284232),居住
B0FFFFPJZQ,杨浦区大学生(青年)创业园,四平路1939-4附近(国权路地铁站1号口步行190米),商务住宅;产业园区;产业园区,120100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.510613,31.290708",[],商务住宅,产业园区,产业园区,121.510613,31.290708,"121.506215,31.292732",121.506215,31.292732,POINT (121.506215 31.292732),居住
B00155L2R0,国顺住宅小区,国顺路400弄1-22号,商务住宅;住宅区;住宅小区,120302,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508899,31.293329",[],商务住宅,住宅区,住宅小区,121.508899,31.293329,"121.504495,31.295347",121.504495,31.295347,POINT (121.504495 31.295347),居住
B00156NT54,国顺路300弄住宅小区,国顺路300弄1-14号,商务住宅;住宅区;住宅小区,120302,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.512177,31.29213",[],商务住宅,住宅区,住宅小区,121.512177,31.29213,"121.507784,31.294159",121.507784,31.294159,POINT (121.507784 31.294159),居住
B00155KECF,锦西路六十三弄住宅小区,锦西路与鞍山路交叉口东北约100米,商务住宅;住宅区;住宅小区,120302,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.512347,31.277097",[],商务住宅,住宅区,住宅小区,121.512347,31.277097,"121.507956,31.279132",121.507956,31.279132,POINT (121.507956 31.279132),居住
B00155L2JG,鞍山三村住宅小区,鞍山三村13-14号,商务住宅;住宅区;住宅小区,120302,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.512739,31.278174",[],商务住宅,住宅区,住宅小区,121.512739,31.278174,"121.50835,31.28021",121.50835,31.28021,POINT (121.50835 31.28021),居住
B00155KEBG,鞍山八村住宅小区,彰武路,商务住宅;住宅区;住宅小区,120302,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511055,31.280342",[],商务住宅,住宅区,住宅小区,121.511055,31.280342,"121.506659,31.282372",121.506659,31.282372,POINT (121.506659 31.282372),居住
B0FFJEUANV,四平住宅小区四平路2065弄,政化路与国定路交叉口南约160米,商务住宅;住宅区;住宅小区,120302,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511639,31.293447",[],商务住宅,住宅区,住宅小区,121.511639,31.293447,"121.507244,31.295473",121.507244,31.295473,POINT (121.507244 31.295473),居住
B0FFHUCTHO,四平住宅小区国顺路310弄,国顺路与政化路交叉口东约40米,商务住宅;住宅区;住宅小区,120302,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511018,31.292242",[],商务住宅,住宅区,住宅小区,121.511018,31.292242,"121.506621,31.294267",121.506621,31.294267,POINT (121.506621 31.294267),居住
B0FFG75MLP,益华小区,政本路与国科路交叉口北约80米,商务住宅;住宅区;住宅小区,120302,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515378,31.286488",[],商务住宅,住宅区,住宅小区,121.515378,31.286488,"121.510997,31.288528",121.510997,31.288528,POINT (121.510997 31.288528),居住
