id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry,function_type
B0FFIXR0TM,东方家园21号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514342,31.290954",[],地名地址信息,门牌信息,楼栋号,121.514342,31.290954,"121.509957,31.292989",121.509957,31.292989,POINT (121.509957 31.292989),其他
B0FFJ3JSLN,东方家园14号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515215,31.291581",[],地名地址信息,门牌信息,楼栋号,121.515215,31.291581,"121.510833,31.293619",121.510833,31.293619,POINT (121.510833 31.293619),其他
B0FFIXR23H,东方家园3号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514777,31.290788",[],地名地址信息,门牌信息,楼栋号,121.514777,31.290788,"121.510394,31.292825",121.510394,31.292825,POINT (121.510394 31.292825),其他
B0FFIXPYJD,东方家园16号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514647,31.291630",[],地名地址信息,门牌信息,楼栋号,121.514647,31.29163,"121.510263,31.293666",121.510263,31.293666,POINT (121.510263 31.293666),其他
B0FFIXR3MD,东方家园4号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514684,31.290811",[],地名地址信息,门牌信息,楼栋号,121.514684,31.290811,"121.5103,31.292847",121.5103,31.292847,POINT (121.5103 31.292847),其他
B0FFIXQNAX,东方家园5号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515132,31.291254",[],地名地址信息,门牌信息,楼栋号,121.515132,31.291254,"121.51075,31.293292",121.51075,31.293292,POINT (121.51075 31.293292),其他
B0FFF2U3S2,天益宾馆4号楼,四平路1805号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508829,31.289416",[],地名地址信息,门牌信息,楼栋号,121.508829,31.289416,"121.504425,31.291436",121.504425,31.291436,POINT (121.504425 31.291436),其他
B0FFIMT575,天益宾馆B栋,四平路1805号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509208,31.288950",[],地名地址信息,门牌信息,楼栋号,121.509208,31.28895,"121.504805,31.290971",121.504805,31.290971,POINT (121.504805 31.290971),其他
B0FFILI0FJ,天益宾馆C栋,四平路1805号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508550,31.288756",[],地名地址信息,门牌信息,楼栋号,121.50855,31.288756,"121.504145,31.290775",121.504145,31.290775,POINT (121.504145 31.290775),其他
B0FFILIK21,天益宾馆A栋,四平路1805号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509263,31.289233",[],地名地址信息,门牌信息,楼栋号,121.509263,31.289233,"121.50486,31.291254",121.50486,31.291254,POINT (121.50486 31.291254),其他
