村居委代码,辖区,乡镇街道,村居委会,常驻总人口,常驻户籍人口,常驻流动人口
3.10E+11,黄浦区,南京东路街道,云南中路居委会,2830,1705,1125
3.10E+11,黄浦区,南京东路街道,龙泉园路居委会,5087,3082,2005
3.10E+11,黄浦区,南京东路街道,贵州路居委会,4436,2640,1796
3.10E+11,黄浦区,南京东路街道,新桥居委会,833,624,209
3.10E+11,黄浦区,南京东路街道,牛庄路居委会,2740,1669,1071
3.10E+11,黄浦区,南京东路街道,厦门路居委会,5776,3233,2543
3.10E+11,黄浦区,南京东路街道,福海居委会,4724,1667,3057
3.10E+11,黄浦区,南京东路街道,承兴居委会,4489,2633,1856
3.10E+11,黄浦区,南京东路街道,三德居委会,2415,1138,1277
3.10E+11,黄浦区,南京东路街道,福瑞居委会,4963,2532,2431
3.10E+11,黄浦区,南京东路街道,平望街居委会,4166,2647,1519
3.10E+11,黄浦区,南京东路街道,小花园居委会,3304,1234,2070
3.10E+11,黄浦区,南京东路街道,长江居委会,4622,1859,2763
3.10E+11,黄浦区,南京东路街道,江阴居委会,2349,1241,1108
3.10E+11,黄浦区,南京东路街道,均乐居委会,4727,2487,2240
3.10E+11,黄浦区,南京东路街道,新昌居委会,2388,1300,1088
3.10E+11,黄浦区,南京东路街道,振兴居委会,3322,1557,1765
3.10E+11,黄浦区,南京东路街道,定兴居委会,2897,1576,1321
3.10E+11,黄浦区,南京东路街道,顺天村居委会,3758,1923,1835
3.10E+11,黄浦区,外滩街道,汉口路居委会,1354,753,601
3.10E+11,黄浦区,外滩街道,北京居委会,3853,2120,1733
3.10E+11,黄浦区,外滩街道,宁波路居委会,2935,1513,1422
3.10E+11,黄浦区,外滩街道,无锡路居委会,3943,2343,1600
3.10E+11,黄浦区,外滩街道,东风居委会,3623,2098,1525
3.10E+11,黄浦区,外滩街道,山东北路居委会,5796,3217,2579
3.10E+11,黄浦区,外滩街道,虎丘路居委会,3272,1940,1332
3.10E+11,黄浦区,外滩街道,永安路居委会,2700,1079,1621
3.10E+11,黄浦区,外滩街道,永胜路居委会,1666,1045,621
3.10E+11,黄浦区,外滩街道,中山东一路居委会,5224,2581,2643
3.10E+11,黄浦区,外滩街道,盛泽居委会,446,295,151
3.10E+11,黄浦区,外滩街道,宝兴居委会,1205,462,743
3.10E+11,黄浦区,外滩街道,昭通路居委会,3801,2088,1713
3.10E+11,黄浦区,外滩街道,瑞福居委会,2846,1102,1744
3.10E+11,黄浦区,外滩街道,云南居委会,2458,1190,1268
3.10E+11,黄浦区,外滩街道,山西南路居委会,3333,1748,1585
3.10E+11,黄浦区,外滩街道,新建二村居委会,3733,2232,1501
3.10E+11,黄浦区,半淞园路街道,民立居委会,3636,1165,2471
3.10E+11,黄浦区,半淞园路街道,瞿四居委会,4574,1794,2780
3.10E+11,黄浦区,半淞园路街道,西三居委会,4953,1230,3723
3.10E+11,黄浦区,半淞园路街道,徽宁居委会,4602,1494,3108
3.10E+11,黄浦区,半淞园路街道,高雄居委会,4846,1991,2855
3.10E+11,黄浦区,半淞园路街道,瞿二居委会,6504,2165,4339
3.10E+11,黄浦区,半淞园路街道,三门峡居委会,3969,1587,2382
3.10E+11,黄浦区,半淞园路街道,市民居委会,6126,2648,3478
