id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry
B00155QWTP,上海农商银行24小时自助银行(杨浦支行),黄兴路1599号新纪元国际广场F1层,金融保险服务;自动提款机;上海农商银行ATM,160347,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.521245,31.286924",[],金融保险服务,自动提款机,上海农商银行ATM,121.521245,31.286924,"121.516884,31.288981",121.516884,31.288981,POINT (121.516884 31.288981)
B0FFJ8YQ6I,华联超市(四平店),国年路95号(国权路地铁站4号口步行380米),购物服务;超级市场;上海华联,060405,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508662,31.291923",[],购物服务,超级市场,上海华联,121.508662,31.291923,"121.504257,31.293941",121.504257,31.293941,POINT (121.504257 31.293941)
B0FFFFPRND,LaBamba拉芭玛墨西哥餐吧(五角场店),国定路333号3号湾广场2层223号,餐饮服务;外国餐厅;墨西哥菜,050216,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509184,31.296406",021-55958085,餐饮服务,外国餐厅,墨西哥菜,121.509184,31.296406,"121.50478,31.298424",121.50478,31.298424,POINT (121.50478 31.298424)
B0FFH181L1,日本料理(同济联合广场店),彰武路42号同济联合广场F2层,餐饮服务;中餐厅;中餐厅,050100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.507773,31.281595",[],餐饮服务,中餐厅,中餐厅,121.507773,31.281595,"121.503365,31.283615",121.503365,31.283615,POINT (121.503365 31.283615)
B0JDPDWSZ1,东隧道股份有限公司,辽源西路114号,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.512333,31.268932",[],公司企业,公司,公司,121.512333,31.268932,"121.507943,31.270971",121.507943,31.270971,POINT (121.507943 31.270971)
B0I1N62ND5,菜鸟驿站(上海市杨浦区凤城路79号店),控江路街道凤城路79号-1,生活服务;物流速递;物流速递,070500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.523085,31.278943",[],生活服务,物流速递,物流速递,121.523085,31.278943,"121.518731,31.281008",121.518731,31.281008,POINT (121.518731 31.281008)
B0J0NOIACE,老上海葱油饼(阳普长岭菜市场店),阳普长岭菜市场东门旁,餐饮服务;餐饮相关场所;餐饮相关,050000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.520332,31.280590",18196689619,餐饮服务,餐饮相关场所,餐饮相关,121.520332,31.28059,"121.515969,31.282647",121.515969,31.282647,POINT (121.515969 31.282647)
B00155FPSW,华联超市(辽新店),辽源西路82号,购物服务;超级市场;上海华联,060405,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.513534,31.269222",021-55961769;021-65031461,购物服务,超级市场,上海华联,121.513534,31.269222,"121.509148,31.271264",121.509148,31.271264,POINT (121.509148 31.271264)
B0HDJOV1W5,菜鸟驿站(上海市双辽路151号店),上海市江浦路街道双辽路151号,生活服务;物流速递;物流速递,070500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.518681,31.270193",13681887701;18221667834,生活服务,物流速递,物流速递,121.518681,31.270193,"121.514313,31.272249",121.514313,31.272249,POINT (121.514313 31.272249)
B0FFL93GDT,江浦社区卫生服务中心双辽路社区卫生服务站家庭医生工作站,双辽路双辽新村小区(江浦路地铁站2号口步行480米),医疗保健服务;综合医院;卫生院,090102,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515731,31.272229",[],医疗保健服务,综合医院,卫生院,121.515731,31.272229,"121.511353,31.274276",121.511353,31.274276,POINT (121.511353 31.274276)
