id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry,function_type
B0FFHDMBBN,财富大酒店(西北门),邯郸路399号,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.510975,31.298286",[],通行设施,临街院门,临街院门,121.510975,31.298286,"121.506578,31.300309",121.506578,31.300309,POINT (121.506578 31.300309),通行设施
B0FFG1W02S,上海财富大酒店(正门),邯郸路399号(近国定路)财富大酒店附近,通行设施;通行设施;通行设施,990000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511150,31.297823",[],通行设施,通行设施,通行设施,121.51115,31.297823,"121.506753,31.299846",121.506753,31.299846,POINT (121.506753 31.299846),通行设施
B001559OX4,国中公寓(西北门),阜新路20弄之1-2号,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504526,31.273324",[],通行设施,临街院门,临街院门,121.504526,31.273324,"121.500107,31.275337",121.500107,31.275337,POINT (121.500107 31.275337),通行设施
B0FFHO21YJ,中国电信上海公司东区电信局黄兴电话站(东南门),国顺路105-1号附近,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.516896,31.290913",[],通行设施,临街院门,临街院门,121.516896,31.290913,"121.51252,31.292956",121.51252,31.292956,POINT (121.51252 31.292956),通行设施
B0FFG4IR8Z,上海市杨浦区四平街道敬老院(东北门),铁岭路50弄63号,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515757,31.279377",[],通行设施,临街院门,临街院门,121.515757,31.279377,"121.511378,31.281421",121.511378,31.281421,POINT (121.511378 31.281421),通行设施
B0FFHO1WXO,复旦大学南区小足球场(北门),政修路270号附近,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.502792,31.290390",[],通行设施,临街院门,临街院门,121.502792,31.29039,"121.498366,31.292391",121.498366,31.292391,POINT (121.498366 31.292391),通行设施
B00155BGGF,铁岭路110弄住宅小区(西南2门),铁岭路110弄5号附近,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511985,31.281155",[],通行设施,临街院门,临街院门,121.511985,31.281155,"121.507593,31.283187",121.507593,31.283187,POINT (121.507593 31.283187),通行设施
B0FFK2STY9,锦西路六十三弄住宅小区(1号门),锦西路与鞍山路交叉口东北约80米,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.512194,31.276877",[],通行设施,临街院门,临街院门,121.512194,31.276877,"121.507803,31.278912",121.507803,31.278912,POINT (121.507803 31.278912),通行设施
B00156NT77,国顺路300弄住宅小区(西南门),国顺路300弄之1-14号,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511923,31.291839",[],通行设施,临街院门,临街院门,121.511923,31.291839,"121.507529,31.293867",121.507529,31.293867,POINT (121.507529 31.293867),通行设施
B00155HI5U,国顺路395、389弄住宅小区(东北2门),国顺路395弄、389弄,通行设施;临街院门;临街院门,991400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509818,31.292458",[],通行设施,临街院门,临街院门,121.509818,31.292458,"121.505417,31.294479",121.505417,31.294479,POINT (121.505417 31.294479),通行设施
