id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry,function_type
B0JDPDWSZ1,东隧道股份有限公司,辽源西路114号,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.512333,31.268932",[],公司企业,公司,公司,121.512333,31.268932,"121.507943,31.270971",121.507943,31.270971,POINT (121.507943 31.270971),就业
B0H2A78GTW,上海畅摇建筑设计有限公司,上海国际设计中心东楼302室,公司企业;公司;建筑公司,170202,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.501959,31.287017",[],公司企业,公司,建筑公司,121.501959,31.287017,"121.49753,31.289017",121.49753,31.289017,POINT (121.49753 31.289017),就业
B0H0ZAWGD1,上海五方建筑科技,国康路100号上海国际设计中心西楼504室,公司企业;公司;建筑公司,170202,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.501454,31.287058",[],公司企业,公司,建筑公司,121.501454,31.287058,"121.497023,31.289057",121.497023,31.289057,POINT (121.497023 31.289057),就业
B0FFH2JOUP,上海东方大学城餐饮服务管理有限公司,国年路275弄15号,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504768,31.294826",021-65642467,公司企业,公司,公司,121.504768,31.294826,"121.500349,31.296831",121.500349,31.296831,POINT (121.500349 31.296831),就业
B00156GWO0,上海海源电子设备维修有限公司,黄兴路1599号新纪元国际广场15层1508号,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.521099,31.286842",[],公司企业,公司,公司,121.521099,31.286842,"121.516738,31.288898",121.516738,31.288898,POINT (121.516738 31.288898),就业
B0GDRRBX5D,舞台灯光音响租赁公司,鞍山四村第三小区62号,公司企业;公司;商业贸易,170207,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508739,31.274770",15021572978,公司企业,公司,商业贸易,121.508739,31.27477,"121.504336,31.276795",121.504336,31.276795,POINT (121.504336 31.276795),就业
B0FFK1SPWE,上海同音灯光音响工程有限公司,彰武路同济联合广场-C号楼,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.507496,31.281349",[],公司企业,公司,公司,121.507496,31.281349,"121.503088,31.283368",121.503088,31.283368,POINT (121.503088 31.283368),就业
B0HK15BF8H,格林酒店集团,鞍山路鞍山四村第一小区,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511491,31.276420",[],公司企业,公司,公司,121.511491,31.27642,"121.507097,31.278453",121.507097,31.278453,POINT (121.507097 31.278453),就业
B0FFHVWJEQ,上海鑫兴酒店设备工程有限公司,打虎山路128号,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.507221,31.273872",[],公司企业,公司,公司,121.507221,31.273872,"121.502812,31.275893",121.502812,31.275893,POINT (121.502812 31.275893),就业
B00155KVW2,上海海关企业监管处,政仁路81号上海海关,政府机构及社会团体;政府机关;省直辖市级政府及事业单位,130102,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.517683,31.28704",[],政府机构及社会团体,政府机关,省直辖市级政府及事业单位,121.517683,31.28704,"121.51331,31.289087",121.51331,31.289087,POINT (121.51331 31.289087),就业
B0FFHSS54I,上海海关企业稽查处,政仁路81号,政府机构及社会团体;政府机关;省直辖市级政府及事业单位,130102,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.517614,31.286964",[],政府机构及社会团体,政府机关,省直辖市级政府及事业单位,121.517614,31.286964,"121.513241,31.28901",121.513241,31.28901,POINT (121.513241 31.28901),就业
B0FFFFQ06B,上海杨浦区世纪养老院工会委员会,政修路270号,政府机构及社会团体;社会团体;社会团体相关,130400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.503129,31.290129",021-65110603,政府机构及社会团体,社会团体,社会团体相关,121.503129,31.290129,"121.498704,31.292131",121.498704,31.292131,POINT (121.498704 31.292131),就业
B0FFG5A3HY,同济大学四平路校区中国工程机械学会路面与压实机械分会,四平路1239号同济大学四平路校区机械馆,政府机构及社会团体;社会团体;行业协会,130407,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.500685,31.286666",[],政府机构及社会团体,社会团体,行业协会,121.500685,31.286666,"121.496251,31.288662",121.496251,31.288662,POINT (121.496251 31.288662),就业
B0FFH1128R,五角场街道慈善超市,国定路39号,政府机构及社会团体;社会团体;慈善机构,130408,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.516242,31.293665",[],政府机构及社会团体,社会团体,慈善机构,121.516242,31.293665,"121.511864,31.295705",121.511864,31.295705,POINT (121.511864 31.295705),就业
B0FFIQAU2R,四平路街道慈善超市,铁岭路96号,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,130000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.512539,31.280284",13585710432;15821613815,政府机构及社会团体,政府及社会团体相关,政府及社会团体相关,121.512539,31.280284,"121.508149,31.282318",121.508149,31.282318,POINT (121.508149 31.282318),就业
B0FFH09BFS,复旦大学爱心公益站,政肃路复旦大学游泳池,政府机构及社会团体;社会团体;慈善机构,130408,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.502457,31.292689",[],政府机构及社会团体,社会团体,慈善机构,121.502457,31.292689,"121.498029,31.294688",121.498029,31.294688,POINT (121.498029 31.294688),就业
B0FFHUKHGM,四平工商所消费者权益保护铁岭路50弄居委会联络点,抚顺路铁岭路50弄社区,政府机构及社会团体;社会团体;社会团体相关,130400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515422,31.279737",[],政府机构及社会团体,社会团体,社会团体相关,121.515422,31.279737,"121.511042,31.28178",121.511042,31.28178,POINT (121.511042 31.28178),就业
B0FFF3AQUR,杨浦区总工会职工援助中心四平分中心,鞍山五村14号,政府机构及社会团体;社会团体;慈善机构,130408,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504509,31.276737",[],政府机构及社会团体,社会团体,慈善机构,121.504509,31.276737,"121.50009,31.278749",121.50009,31.278749,POINT (121.50009 31.278749),就业
B0FFF3AQPW,四平工商所消费者权益保护鞍山三村居委会联络点,铁岭路鞍山三村住宅小区,政府机构及社会团体;社会团体;消费者协会,130406,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.513040,31.278195",[],政府机构及社会团体,社会团体,消费者协会,121.51304,31.278195,"121.508652,31.280232",121.508652,31.280232,POINT (121.508652 31.280232),就业
B0FFHRXDXP,经常性社会捐助接收点,铁岭路113-1号附近,政府机构及社会团体;社会团体;慈善机构,130408,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.512522,31.280288",[],政府机构及社会团体,社会团体,慈善机构,121.512522,31.280288,"121.508132,31.282322",121.508132,31.282322,POINT (121.508132 31.282322),就业
B0FFG0389C,上海同济高廷耀环保科技发展基金会,密云路588号同济大学,政府机构及社会团体;社会团体;慈善机构,130408,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.496903,31.284584",[],政府机构及社会团体,社会团体,慈善机构,121.496903,31.284584,"121.492456,31.28657",121.492456,31.28657,POINT (121.492456 31.28657),就业
