id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry,function_type
B0FFL93GDT,江浦社区卫生服务中心双辽路社区卫生服务站家庭医生工作站,双辽路双辽新村小区(江浦路地铁站2号口步行480米),医疗保健服务;综合医院;卫生院,090102,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515731,31.272229",[],医疗保健服务,综合医院,卫生院,121.515731,31.272229,"121.511353,31.274276",121.511353,31.274276,POINT (121.511353 31.274276),医疗
B0FFG4PG60,新华医院-儿神经外科门诊,控江路1665号新华医院2号楼3楼,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.517747,31.274171",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.517747,31.274171,"121.513375,31.276223",121.513375,31.276223,POINT (121.513375 31.276223),医疗
B0GR6O3FZA,德哥手足护理中心,大连路825号A座1楼,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508230,31.263440",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.50823,31.26344,"121.503826,31.265469",121.503826,31.265469,POINT (121.503826 31.265469),医疗
B0IBKHG2ME,刘宸屹康养中心,四平路与国年路交叉口东20米,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511299,31.291071",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.511299,31.291071,"121.506903,31.293097",121.506903,31.293097,POINT (121.506903 31.293097),医疗
B0HKH7FFQ0,叶子养生(控江店),控江路2028号海际商业广场F5,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509316,31.273493",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.509316,31.273493,"121.504915,31.275521",121.504915,31.275521,POINT (121.504915 31.275521),医疗
B0HGR1OLJ4,德哥灰指甲甲沟炎跖疣鸡眼脚气修复(五角场店),杨浦区 国定路95号,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514916,31.293699",13764169352,医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.514916,31.293699,"121.510533,31.295735",121.510533,31.295735,POINT (121.510533 31.295735),医疗
B0FFKTJ642,莱仪堂养生会馆(国定店),五角场街道国定路115号,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514352,31.293853",021-55581160,医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.514352,31.293853,"121.509967,31.295887",121.509967,31.295887,POINT (121.509967 31.295887),医疗
B0IBKAHSPK,艾灸馆,[],医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515320,31.276945",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.51532,31.276945,"121.51094,31.278989",121.51094,31.278989,POINT (121.51094 31.278989),医疗
B0FFI6HJCR,上海市动物疫病预防控制中心城区动物防疫点(抚顺路店),抚顺路206号(近江浦路),医疗保健服务;动物医疗场所;动物医疗场所,090700,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.516304,31.280928",021-33776332,医疗保健服务,动物医疗场所,动物医疗场所,121.516304,31.280928,"121.511927,31.282973",121.511927,31.282973,POINT (121.511927 31.282973),医疗
B0FFHTZPWT,密云社区卫生服务站家庭医生工作站,密云路与玉田路交叉口东南约160米,医疗保健服务;综合医院;卫生院,090102,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.497562,31.278095",[],医疗保健服务,综合医院,卫生院,121.497562,31.278095,"121.493118,31.280086",121.493118,31.280086,POINT (121.493118 31.280086),医疗
