id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry,function_type
B0FFF5UIGO,同济大学网球场(赤峰路),四平路1239号同济大学,体育休闲服务;运动场馆;网球场,080103,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.501584,31.282734",[],体育休闲服务,运动场馆,网球场,121.501584,31.282734,"121.497154,31.284735",121.497154,31.284735,POINT (121.497154 31.284735),休闲娱乐
B0IAP7SB43,NEO,邯郸路399号-A01五角场创场内里百货内,体育休闲服务;娱乐场所;酒吧,080304,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.510305,31.298078",18601772329,体育休闲服务,娱乐场所,酒吧,121.510305,31.298078,"121.505905,31.300099",121.505905,31.300099,POINT (121.505905 31.300099),休闲娱乐
B0FFM6CHXE,驿佳宾馆,大连路与辽源西路交叉口东北约60米,住宿服务;宾馆酒店;宾馆酒店,100100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.506703,31.269118",[],住宿服务,宾馆酒店,宾馆酒店,121.506703,31.269118,"121.502293,31.27114",121.502293,31.27114,POINT (121.502293 31.27114),休闲娱乐
B0IBKZH80K,汉旺酒店,[],住宿服务;宾馆酒店;宾馆酒店,100100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.507709,31.273398",[],住宿服务,宾馆酒店,宾馆酒店,121.507709,31.273398,"121.503302,31.275421",121.503302,31.275421,POINT (121.503302 31.275421),休闲娱乐
B0IBKHGUW5,格林酒店,[],住宿服务;宾馆酒店;宾馆酒店,100100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511578,31.276332",[],住宿服务,宾馆酒店,宾馆酒店,121.511578,31.276332,"121.507185,31.278365",121.507185,31.278365,POINT (121.507185 31.278365),休闲娱乐
B0FFG95DL8,园中酒店公寓,大连路1546号,住宿服务;宾馆酒店;宾馆酒店,100100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504459,31.272918",[],住宿服务,宾馆酒店,宾馆酒店,121.504459,31.272918,"121.50004,31.274931",121.50004,31.274931,POINT (121.50004 31.274931),休闲娱乐
B0FFGJO8WB,锦江都城白玉兰宾馆宴会厅,四平路1251号,住宿服务;住宿服务相关;住宿服务相关,100000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.507386,31.285077",[],住宿服务,住宿服务相关,住宿服务相关,121.507386,31.285077,"121.502977,31.287094",121.502977,31.287094,POINT (121.502977 31.287094),休闲娱乐
B0FFGEKAMX,上海财富大酒店-洗手间,邯郸路399号(近国定路),公共设施;公共厕所;公共厕所,200300,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511204,31.297722",[],公共设施,公共厕所,公共厕所,121.511204,31.297722,"121.506807,31.299745",121.506807,31.299745,POINT (121.506807 31.299745),休闲娱乐
B0HU9S52MP,新起点酒店公寓,国权路与政仁路交叉口东约140米,住宿服务;宾馆酒店;经济型连锁酒店,100105,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.519131,31.288527",[],住宿服务,宾馆酒店,经济型连锁酒店,121.519131,31.288527,"121.514763,31.290577",121.514763,31.290577,POINT (121.514763 31.290577),休闲娱乐
B0HKVC677K,OT台球酒吧,大连路1546号b1层,体育休闲服务;娱乐场所;酒吧,080304,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504095,31.272888",19946273372,体育休闲服务,娱乐场所,酒吧,121.504095,31.272888,"121.499675,31.2749",121.499675,31.2749,POINT (121.499675 31.2749),休闲娱乐
B0G274EERJ,龙元网咖棋牌,邯郸路365号颐高数码广场3楼,体育休闲服务;娱乐场所;棋牌室,080306,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508023,31.297360",021-52906986,体育休闲服务,娱乐场所,棋牌室,121.508023,31.29736,"121.503615,31.299374",121.503615,31.299374,POINT (121.503615 31.299374),休闲娱乐
B00155MORP,晶晶网咖,政肃路55号二楼,体育休闲服务;娱乐场所;网吧,080308,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.506222,31.294323",17521777078,体育休闲服务,娱乐场所,网吧,121.506222,31.294323,"121.501808,31.296333",121.501808,31.296333,POINT (121.501808 31.296333),休闲娱乐
B0FFGHZHYA,紧急避难场所(智选假日酒店西南),黄兴路1729号上海五角场智选假日酒店1层,公共设施;紧急避难场所;紧急避难场所,200400,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.518920,31.290270",[],公共设施,紧急避难场所,紧急避难场所,121.51892,31.29027,"121.514551,31.292319",121.514551,31.292319,POINT (121.514551 31.292319),休闲娱乐
B0FFFS7CLJ,四平科技公园-中心广场,内环高架路四平科技公园,风景名胜;公园广场;城市广场,110105,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.507270,31.287128",[],风景名胜,公园广场,城市广场,121.50727,31.287128,"121.50286,31.289144",121.50286,31.289144,POINT (121.50286 31.289144),休闲娱乐
B0FFMH322V,美佳公寓,政本路与国权路交叉口南约80米,住宿服务;宾馆酒店;宾馆酒店,100100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515497,31.286964",[],住宿服务,宾馆酒店,宾馆酒店,121.515497,31.286964,"121.511117,31.289004",121.511117,31.289004,POINT (121.511117 31.289004),休闲娱乐
