id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry,function_type
B0IATZO205,复旦大学国家大学科技园地面停车场,[],交通设施服务;停车场;公共停车场,150904,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.505987,31.289074",[],交通设施服务,停车场,公共停车场,121.505987,31.289074,"121.501572,31.291085",121.501572,31.291085,POINT (121.501572 31.291085),交通设施
B0FFFWUDWX,大连西路4弄小区停车场,大连西路4弄(四平路地铁站1号口步行230米),交通设施服务;停车场;公共停车场,150904,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.500480,31.275946",[],交通设施服务,停车场,公共停车场,121.50048,31.275946,"121.496047,31.277946",121.496047,31.277946,POINT (121.496047 31.277946),交通设施
BX10035457,国权路地铁站1号口,18号线,交通设施服务;地铁站;出入口,150501,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.510670,31.289962",[],交通设施服务,地铁站,出入口,121.51067,31.289962,"121.506272,31.291987",121.506272,31.291987,POINT (121.506272 31.291987),交通设施
B0IATZO204,复旦大学国家大学科技园地面停车场(出入口),[],交通设施服务;停车场;停车场出入口,150909,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.505987,31.289074",[],交通设施服务,停车场,停车场出入口,121.505987,31.289074,"121.501572,31.291085",121.501572,31.291085,POINT (121.501572 31.291085),交通设施
B0G26RNH6U,四平路东方商厦附近大型停车场,四平路金岛大厦西侧,交通设施服务;停车场;停车场相关,150900,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515044,31.298319",[],交通设施服务,停车场,停车场相关,121.515044,31.298319,"121.510661,31.300353",121.510661,31.300353,POINT (121.510661 31.300353),交通设施
B0IBHSEKAP,锦江之星旅馆(同济大学店)地面停车点(入口),国康路与四平路辅路交叉口西北约80米,交通设施服务;停车场;停车场入口,150907,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.506956,31.285141",[],交通设施服务,停车场,停车场入口,121.506956,31.285141,"121.502545,31.287157",121.502545,31.287157,POINT (121.502545 31.287157),交通设施
B0FFFZHU02,天益宾馆停车场,四平路1805号天益宾馆,交通设施服务;停车场;公共停车场,150904,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509463,31.289346",[],交通设施服务,停车场,公共停车场,121.509463,31.289346,"121.505061,31.291368",121.505061,31.291368,POINT (121.505061 31.291368),交通设施
B0FFHO2ADH,天益宾馆地面停车场,四平路1805号天益宾馆,交通设施服务;停车场;公共停车场,150904,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508508,31.289634",[],交通设施服务,停车场,公共停车场,121.508508,31.289634,"121.504102,31.291653",121.504102,31.291653,POINT (121.504102 31.291653),交通设施
B0I6ZHIIAC,上海五角场智选假日酒店地下停车点,国顺路与黄兴路交叉口西约100米,交通设施服务;停车场;公共停车场,150904,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.518415,31.291203",[],交通设施服务,停车场,公共停车场,121.518415,31.291203,"121.514044,31.29325",121.514044,31.29325,POINT (121.514044 31.29325),交通设施
B0I6ZHFQ6A,上海五角场智选假日酒店停车点(出口),国顺路与黄兴路交叉口西南约100米,交通设施服务;停车场;停车场出口,150908,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.518470,31.291080",[],交通设施服务,停车场,停车场出口,121.51847,31.29108,"121.5141,31.293127",121.5141,31.293127,POINT (121.5141 31.293127),交通设施
